MIB search path: /home/monorail/.snmp/mibs:/usr/share/snmp/mibs:/usr/share/snmp/mibs/iana:/usr/share/snmp/mibs/ietf:/usr/share/mibs/site:/usr/share/snmp/mibs:/usr/share/mibs/iana:/usr/share/mibs/ietf:/usr/share/mibs/netsnmp
Cannot find module (MTA-MIB): At line 1 in (none)
Cannot find module (NETWORK-SERVICES-MIB): At line 1 in (none)
Cannot find module (Q-BRIDGE-MIB): At line 7 in /usr/share/snmp/mibs/ARISTA-BRIDGE-EXT-MIB.txt
Did not find 'dot1qFdbId' in module #-1 (/usr/share/snmp/mibs/ARISTA-BRIDGE-EXT-MIB.txt)
Did not find 'dot1qTpFdbAddress' in module #-1 (/usr/share/snmp/mibs/ARISTA-BRIDGE-EXT-MIB.txt)
LLDP-MIB::lldpMessageTxInterval.0 30 seconds
LLDP-MIB::lldpMessageTxHoldMultiplier.0 4
LLDP-MIB::lldpReinitDelay.0 2 seconds
LLDP-MIB::lldpTxDelay.0 2 seconds
LLDP-MIB::lldpNotificationInterval.0 5 seconds
LLDP-MIB::lldpPortConfigAdminStatus.1 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.2 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.3 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.4 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.5 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.6 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.7 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.8 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.9 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.10 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.11 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.12 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.13 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.14 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.15 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.16 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.17 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.18 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.19 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.20 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.21 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.22 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.23 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.24 txAndRx
LLDP-MIB::lldpPortConfigAdminStatus.97 txAndRx
